uid,level,time_to_play,ball_popped,ball_drop,shot,is_win,is_first_time_win,powerball,time_get_info
SFZUNHK2BDTFK3aVgaxLrospHnu2,920,1.2666666507720948,"[42.0,55.0,38.0,27.0,28.0,29.0]","[24.0,6.0,12.0,8.0,16.0,3.0]",35,true,true,0,2022-09-19 11:22:33
kfCABvBMQdMTHiFS0K6Pl8Sq3fh1,22,2.25,"[53.0,0.0,15.0,38.0,32.0,43.0]","[9.0,0.0,0.0,12.0,14.0,3.0]",23,true,true,0,2022-09-19 11:24:15
uYS7G2lEPCPatRnuox4IR2sNYnn1,16,4.800000190734863,"[22.0,19.0,7.0,40.0,0.0,43.0]","[1.0,1.0,0.0,1.0,0.0,9.0]",50,false,false,1,2022-09-19 11:24:45
CoUh1mwwReYYqyTkANWd7zgh9CS2,24,1.600000023841858,"[20.0,32.0,32.0,32.0,60.0,0.0]","[3.0,2.0,7.0,0.0,3.0,0.0]",30,true,false,1,2022-09-19 11:26:47
kfCABvBMQdMTHiFS0K6Pl8Sq3fh1,23,2.9166667461395265,"[96.0,0.0,86.0,65.0,94.0,84.0]","[15.0,0.0,10.0,0.0,8.0,14.0]",42,true,true,0,2022-09-19 11:27:20
SFZUNHK2BDTFK3aVgaxLrospHnu2,921,1.6166666746139527,"[96.0,63.0,63.0,32.0,40.0,37.0]","[25.0,17.0,9.0,11.0,15.0,4.0]",45,true,true,0,2022-09-19 11:27:30
SFZUNHK2BDTFK3aVgaxLrospHnu2,922,2.066666603088379,"[43.0,55.0,44.0,18.0,40.0,24.0]","[18.0,17.0,8.0,6.0,9.0,4.0]",39,true,true,2,2022-09-19 11:27:52
UDfd5TpD0kNFyOqQ6sUekDcSljf2,280,2.6666667461395265,"[75.0,33.0,0.0,94.0,61.0,69.0]","[21.0,6.0,0.0,26.0,19.0,24.0]",36,true,true,2,2022-09-19 11:27:55
46e79lkxreXiQaGerHRYdy1lUIB2,2,0.4833333194255829,"[10.0,16.0,21.0,0.0,17.0,12.0]","[6.0,4.0,15.0,0.0,13.0,12.0]",6,true,true,1,2022-09-19 11:28:02
46e79lkxreXiQaGerHRYdy1lUIB2,3,0.5833333134651184,"[0.0,38.0,24.0,0.0,50.0,0.0]","[0.0,22.0,13.0,0.0,15.0,0.0]",10,true,true,1,2022-09-19 11:28:57
UDfd5TpD0kNFyOqQ6sUekDcSljf2,281,1.0666667222976685,"[27.0,29.0,23.0,0.0,18.0,17.0]","[14.0,14.0,9.0,0.0,2.0,3.0]",12,true,true,2,2022-09-19 11:29:08
kfCABvBMQdMTHiFS0K6Pl8Sq3fh1,24,2.0999999046325685,"[19.0,31.0,33.0,30.0,55.0,0.0]","[2.0,1.0,2.0,5.0,3.0,0.0]",27,true,true,0,2022-09-19 11:29:36
46e79lkxreXiQaGerHRYdy1lUIB2,4,0.7166666388511658,"[65.0,0.0,0.0,0.0,99.0,0.0]","[30.0,0.0,0.0,0.0,12.0,0.0]",19,true,true,0,2022-09-19 11:29:55
YfnCpPfQdbgwYUX2Wiuvd0usrbg1,1325,19.66666603088379,"[61.0,64.0,91.0,88.0,24.0,45.0]","[16.0,9.0,12.0,12.0,16.0,5.0]",61,true,true,0,2022-09-19 11:30:49
rWgLNzHJDlhHQge0KXvnB8Ty3lT2,17,1.5666667222976685,"[0.0,0.0,54.0,34.0,36.0,45.0]","[0.0,0.0,3.0,1.0,6.0,1.0]",27,true,true,0,2022-09-19 11:31:04
FiEP9LI0FtNS1Fy7GCvjxs5P90g2,41,3.383333444595337,"[0.0,80.0,65.0,76.0,83.0,73.0]","[0.0,21.0,33.0,25.0,24.0,33.0]",45,false,false,0,2022-09-19 11:31:04
ufAcqSmuI0MLZoLJ2gzM8ICb5Ms1,2,1.5333333015441895,"[14.0,20.0,20.0,0.0,19.0,14.0]","[10.0,5.0,15.0,0.0,14.0,6.0]",15,true,true,1,2022-09-19 11:32:17
YfnCpPfQdbgwYUX2Wiuvd0usrbg1,1326,1.0333333015441895,"[50.0,0.0,41.0,54.0,42.0,43.0]","[19.0,0.0,11.0,19.0,23.0,13.0]",32,true,true,0,2022-09-19 11:32:42
46e79lkxreXiQaGerHRYdy1lUIB2,6,1.0,"[32.0,0.0,27.0,45.0,23.0,46.0]","[7.0,0.0,10.0,16.0,10.0,7.0]",23,true,true,0,2022-09-19 11:32:48
3o6rIiI6PiZZAHmZ1hUQLdMoUo53,1156,0.7833333611488342,"[35.0,0.0,31.0,29.0,25.0,18.0]","[9.0,0.0,21.0,12.0,7.0,7.0]",19,true,true,0,2022-09-19 11:32:52
kfCABvBMQdMTHiFS0K6Pl8Sq3fh1,25,2.950000047683716,"[53.0,36.0,24.0,28.0,44.0,0.0]","[0.0,9.0,9.0,6.0,2.0,0.0]",33,true,true,0,2022-09-19 11:32:54
ufAcqSmuI0MLZoLJ2gzM8ICb5Ms1,3,0.7333333492279053,"[0.0,39.0,25.0,0.0,47.0,0.0]","[0.0,18.0,4.0,0.0,15.0,0.0]",9,true,true,1,2022-09-19 11:33:14
rWgLNzHJDlhHQge0KXvnB8Ty3lT2,18,1.3833333253860474,"[31.0,18.0,44.0,49.0,41.0,0.0]","[11.0,7.0,10.0,11.0,7.0,0.0]",25,true,true,0,2022-09-19 11:33:24
wKXwESiWkKMKns2w2Hgd5k0LvES2,27,2.4833333492279054,"[38.0,0.0,34.0,46.0,0.0,83.0]","[10.0,0.0,4.0,0.0,0.0,10.0]",38,true,true,0,2022-09-19 11:33:40
