uid,level,time_to_play,ball_popped,ball_drop,shot,is_win,is_first_time_win,powerball,version_name,time_get_info
rp0Hii3lMOVVCxV2CWKO8IMFR1w2,13,2.133333444595337,"[30.0,0.0,26.0,102.0,41.0,0.0]","[11.0,0.0,8.0,1.0,4.0,0.0]",41,True,True,0,1.30.1,2022-09-16 23:11:28
qGQM4mEdIiNRS85IBc0MPa3SVEb2,732,1.9333332777023318,"[39.0,0.0,29.0,40.0,42.0,46.0]","[9.0,0.0,5.0,6.0,1.0,6.0]",45,True,True,0,1.30.1,2022-09-16 23:11:28
3lqDzZbejYapvsEIWo3EuLhR8w83,13,1.8166667222976685,"[27.0,0.0,26.0,91.0,31.0,0.0]","[22.0,0.0,10.0,16.0,17.0,0.0]",21,True,True,1,1.30.1,2022-09-16 23:11:28
DzoGRHM9sZezIpxbPUzJdRds42y1,19600,1.1666666269302368,"[47.0,53.0,0.0,59.0,0.0,87.0]","[5.0,4.0,0.0,9.0,0.0,3.0]",38,False,False,0,1.30.1,2022-09-16 23:11:28
AgTiaAoX1HWEdIbDb3ymBIFTks03,86,9.783333778381348,"[116.0,57.0,0.0,121.0,0.0,93.0]","[19.0,1.0,0.0,17.0,0.0,5.0]",61,True,True,0,1.30.1,2022-09-16 23:11:28
YfnCpPfQdbgwYUX2Wiuvd0usrbg1,1320,2.366666555404663,"[53.0,69.0,62.0,19.0,88.0,35.0]","[14.0,25.0,11.0,6.0,26.0,9.0]",46,True,True,3,1.30.1,2022-09-16 23:11:28
Bnj2mwaqomMYOWRcHecSOKBGv8b2,21,1.2833333015441897,"[81.0,0.0,71.0,0.0,63.0,0.0]","[13.0,0.0,8.0,0.0,20.0,0.0]",19,True,False,0,1.30.1,2022-09-16 23:11:28
rp0Hii3lMOVVCxV2CWKO8IMFR1w2,14,1.0499999523162842,"[2.0,26.0,43.0,0.0,90.0,17.0]","[0.0,0.0,5.0,0.0,18.0,13.0]",21,True,True,0,1.30.1,2022-09-16 23:11:28
1FObYATMWkQqBTmIdp8cx2Pej2A2,16,1.5333333015441897,"[38.0,26.0,13.0,46.0,0.0,41.0]","[7.0,8.0,6.0,3.0,0.0,7.0]",22,True,True,0,1.30.1,2022-09-16 23:11:28
DzoGRHM9sZezIpxbPUzJdRds42y1,19600,1.399999976158142,"[63.0,49.0,0.0,64.0,0.0,78.0]","[7.0,24.0,0.0,8.0,0.0,13.0]",37,False,False,1,1.30.1,2022-09-16 23:11:28
3lqDzZbejYapvsEIWo3EuLhR8w83,14,1.3333333730697632,"[0.0,26.0,48.0,0.0,89.0,18.0]","[0.0,0.0,7.0,0.0,16.0,7.0]",21,True,True,0,1.30.1,2022-09-16 23:11:28
qGQM4mEdIiNRS85IBc0MPa3SVEb2,733,2.0,"[36.0,0.0,35.0,29.0,31.0,24.0]","[2.0,0.0,9.0,2.0,5.0,1.0]",43,True,True,0,1.30.1,2022-09-16 23:11:28
L8t0CI567DO7EwsZzxlsmnMPLOK2,147,2.133333444595337,"[14.0,5.0,7.0,14.0,0.0,7.0]","[0.0,0.0,0.0,0.0,0.0,0.0]",50,False,False,0,1.30.1,2022-09-16 23:11:28
AgTiaAoX1HWEdIbDb3ymBIFTks03,87,1.1833332777023315,"[45.0,36.0,37.0,34.0,24.0,0.0]","[2.0,8.0,0.0,5.0,0.0,0.0]",32,True,True,0,1.30.1,2022-09-16 23:11:28
ViUHNUNgbNTrbhsiinftr7o6CES2,270,4.5333333015441895,"[38.0,34.0,48.0,58.0,17.0,22.0]","[6.0,0.0,4.0,12.0,2.0,3.0]",33,True,True,1,1.30.1,2022-09-16 23:11:28
DzoGRHM9sZezIpxbPUzJdRds42y1,19600,1.1166666746139529,"[48.0,53.0,0.0,56.0,0.0,76.0]","[2.0,10.0,0.0,9.0,0.0,7.0]",31,False,False,0,1.30.1,2022-09-16 23:11:28
Bnj2mwaqomMYOWRcHecSOKBGv8b2,22,1.5166666507720947,"[52.0,0.0,15.0,37.0,35.0,39.0]","[0.0,0.0,0.0,12.0,10.0,2.0]",20,True,True,0,1.30.1,2022-09-16 23:11:28
1FObYATMWkQqBTmIdp8cx2Pej2A2,17,1.6833332777023315,"[0.0,0.0,54.0,31.0,37.0,43.0]","[0.0,0.0,3.0,5.0,9.0,12.0]",22,True,True,1,1.30.1,2022-09-16 23:11:28
qtrfRT0RqBU6qmsNwjs8yZVWCp53,8,1.8999999761581416,"[25.0,30.0,47.0,58.0,0.0,30.0]","[6.0,3.0,0.0,6.0,0.0,3.0]",29,True,True,1,1.30.1,2022-09-16 23:11:28
tsO1vewAmdVDeVjlAn270Pzx0nr1,2,0.6333333253860474,"[10.0,17.0,19.0,0.0,17.0,13.0]","[3.0,15.0,19.0,0.0,16.0,12.0]",2,True,True,7,1.30.1,2022-09-16 23:11:28
rp0Hii3lMOVVCxV2CWKO8IMFR1w2,15,1.9666666984558103,"[47.0,0.0,53.0,71.0,0.0,65.0]","[10.0,0.0,8.0,12.0,0.0,6.0]",39,True,True,1,1.30.1,2022-09-16 23:11:28
oY3WFxhrXZNNRrgYafxTdJidYI73,22,108.8000030517578,"[51.0,0.0,15.0,41.0,33.0,40.0]","[7.0,0.0,0.0,12.0,16.0,9.0]",22,True,True,2,1.30.1,2022-09-16 23:11:28
