,uid,time_to_play,active_time,high_level,predictions,days_to_churn,warning
1004,BVQXbhauafQnxDtK7duD8Upaj503,0.0,4110.16,0.0,True,7 days 03:06:16.718157,player does not play!
1008,BaPlRnypq5hUMLLb1SgDKvXveuY2,0.0,4297.860000000001,0.0,True,8 days 03:01:50.718157,player does not play!
1012,Bd4l34gcs3Pn9IxLuaW7b19fWNO2,0.0,4519.150000000001,0.0,True,5 days 16:59:30.718157,player does not play!
1019,BkTDh5fkCGQL5QH17PpniK9jkpN2,0.0,4188.509999999999,0.0,True,7 days 10:29:48.718157,player does not play!
1039,Bxbc5gYmqOduySS26WHMkVYdqil2,0.0,7524.05,0.0,True,4 days 23:03:00.718157,player does not play!
1050,C26DMFJoajgm9YajdP12gplHZuP2,0.0,5347.32,0.0,True,5 days 12:18:05.718157,player does not play!
1067,CHBM0rRcQXWMGNqw3Aub5ijkt1X2,3.45,1691.1599999999999,243.0,True,6 days 23:04:54.719155,"this player play time is only 1.47% of average, skill is 50.72206319339174% of average, win 0.0% of average, churn level is 652164.65"
1074,CLpGvwufbSacT8qrKDxtlcmyqtx1,1.87,10020.7,11.0,True,7 days 02:51:07.719155,"this player play time is only 0.13% of average, churn level is 21187.33"
1101,CegU7Wf7TTMXaVyjXvzhTDMjRuw1,0.0,8767.359999999999,0.0,True,7 days 02:18:50.719155,player does not play!
1102,CfBB3r3bXCRCaEn0FHMw1JwWSWO2,0.0,8964.470000000001,0.0,True,7 days 00:49:45.719155,player does not play!
1120,CuMojE0LFqXo5Uv3tsYSNirSL1X2,0.0,9135.460000000001,0.0,True,5 days 22:22:27.719155,player does not play!
1128,D1uBEIBCpeVWvS5kPI9B6TpHBy63,41.43,2484.86,31.0,True,5 days 02:19:47.719155,"this player play time is only 12.05% of average, churn level is 19.36"
1149,DEQ60az7ZDSZtzZuuJ0bdTcID4j1,0.0,9595.140000000001,0.0,True,8 days 10:48:55.720149,player does not play!
1153,DFdWPFtCD6X3a7jcCU83fB1XlvT2,0.0,4327.39,0.0,True,7 days 08:51:26.720149,player does not play!
1200,DinQ5dMxG9NyMXeDuVysWbcxOpq1,23.8,5242.01,25.0,True,6 days 17:18:57.720149,"this player play time is only 3.28% of average, churn level is 39.95"
1201,DiuWMYTls4XgW7Hmel4tC3ftnF72,1.58,4311.84,1.0,True,5 days 00:38:58.721155,"this player play time is only 0.26% of average, skill is 8.081095203546125% of average, churn level is 741.08"
1203,DjfQ3ZjO4SXDKJzQBhPH6k25WjB3,0.0,4260.51,0.0,True,7 days 09:16:05.721155,player does not play!
1205,DkF5GUOY8oSPVrQYwYgncPeRMMI2,272.33,3812.6,415.0,True,6 days 04:07:08.721155,this player churn level is 49.72
1209,DnQZFtQ1GAewOogTTxmN1QmL38s2,0.0,4345.56,0.0,True,5 days 23:49:23.721155,player does not play!
1215,DpcFjP36VRbkg3o6ieHxjOJdHJF3,2.87,9820.41,17.0,True,7 days 18:12:24.721155,"this player play time is only 0.21% of average, churn level is 1208.31"
1228,E1l5uDnGoUQHR8jAWqg2no55nR03,0.0,4369.88,0.0,True,6 days 04:48:25.721155,player does not play!
1232,E3K0Yc1bFueKdz7sVQT9Wo59sZF3,0.72,5097.9800000000005,11.0,True,5 days 09:39:32.721155,"this player play time is only 0.1% of average, skill is 183.66441031770853% of average, churn level is 21530.56"
1233,E3sAEWEifsVGpTnipczt9bmqmF52,0.0,8961.96,0.0,True,7 days 02:59:09.721155,player does not play!
1235,E4lA8Q6R2QYmp6zi2BNVtCTqtis2,0.0,7112.21,0.0,True,4 days 23:20:30.721155,player does not play!
1239,EBEanMVVkGObx3UojSO4aBGA8My1,3.3,5307.54,29.0,True,5 days 01:25:43.721155,"this player play time is only 0.45% of average, churn level is 1461.12"
1252,EJxTyRqOowOxNu8g0CBWgwTqUPG3,20.86,1446.77,154.0,True,4 days 19:47:03.721155,"this player play time is only 10.42% of average, churn level is 259.44"
1258,EOp2igPUr3SrtpdNmCVUiOHruN82,1.93,5469.83,6.0,True,6 days 03:16:12.721155,"this player play time is only 0.26% of average, skill is 15.785211481359815% of average, churn level is 1121.69"
1277,EZASO0hyfoc4aeveQ9bDDQ2AvU92,0.0,4207.610000000001,0.0,True,5 days 23:07:47.722152,player does not play!
1279,EZdr0565U7TSwNCQZPz6rcbqNpu2,0.0,8862.78,0.0,True,4 days 15:37:13.722152,player does not play!
1292,Eknm3CMahbgERaFzUHqsrs4rCGF3,0.0,10082.08,0.0,True,5 days 05:20:03.722152,player does not play!
1293,EkrBo9ifNnVPg3CTH1kDRIXelTM2,0.0,4336.06,0.0,True,6 days 09:14:43.722152,player does not play!
1316,F6VpIVQTQVfe9FvfZYKpznFNLaS2,0.0,5297.12,0.0,True,5 days 03:06:30.722152,player does not play!
1319,F9kQUqQu1YSymt5lW1I82gbt7lR2,3.25,8710.48,28.0,True,4 days 15:02:22.722152,"this player play time is only 0.27% of average, churn level is 676.93"
1332,FMNTJMDhaVgmlGiByC8AQe27lpv1,6.66,6805.95,14.0,True,6 days 10:43:27.722152,"this player play time is only 0.71% of average, skill is 179.17370182597975% of average, churn level is 2692.93"
1342,FTSOpf9Rj2RCWbYTisREzMfxWrj2,0.9,4152.9,9.0,True,6 days 23:33:36.722152,"this player play time is only 0.16% of average, churn level is 92496.44"
1343,FTSXnQGdwdP8pJ84FeIId5vDi4y2,0.0,6324.18,0.0,True,7 days 19:33:16.722152,player does not play!
1345,FUogxQlUOeTvo3eWowyXAnhqPLK2,0.0,7999.42,0.0,True,4 days 14:20:57.722152,player does not play!
1348,Fa0Zvezq2SWl39HDjwuLOUCYVN22,0.0,7086.32,0.0,True,4 days 19:01:41.723149,player does not play!
1354,Fd06moyyh8NPLTqHtqUq61if9Ms2,0.0,5584.04,0.0,True,8 days 08:38:14.723149,player does not play!
